,seconds,price,buy_sell,round
0,19368.656000000003,395,-1,1673
1,19389.229,405,1,1673
2,19390.907,450,1,1673
3,19393.972999999998,405,1,1673
4,19397.569000000003,405,1,1673
5,19424.695,395,-1,1673
6,19426.288,470,-1,1673
7,19427.610999999997,395,-1,1673
8,19429.142,470,-1,1673
9,19431.841,405,1,1673
10,19435.695,405,1,1673
11,19436.230000000003,395,-1,1673
12,19436.832000000002,395,-1,1673
13,19437.896999999997,395,-1,1673
14,19439.384,405,1,1673
15,19443.523,470,-1,1673
16,19444.228000000003,395,-1,1673
17,19447.597999999998,470,-1,1673
18,19451.213000000003,405,1,1673
19,19454.459000000003,405,1,1673
20,19458.069000000003,405,1,1673
21,19461.295,455,1,1673
22,19529.125,450,1,1673
23,19530.428999999996,455,1,1673
24,19531.925000000003,395,-1,1673
25,19532.396999999997,445,1,1673
26,19533.928999999996,395,-1,1673
27,19535.250999999997,390,-1,1673
28,19537.256999999998,395,-1,1673
29,19538.208,405,1,1673
30,19538.561999999998,375,-1,1673
31,19542.110999999997,420,-1,1673
32,19545.267,420,-1,1673
33,19548.201,420,-1,1673
34,19554.400999999998,420,-1,1673
35,19586.665999999997,405,1,1673
36,19594.648,405,1,1673
37,19599.286,405,1,1673
38,19604.534,395,-1,1673
39,19611.220999999998,405,1,1673
40,19617.428,405,1,1673
41,19815.923000000003,405,1,1674
42,19826.045,405,-1,1674
43,19854.252999999997,415,1,1674
44,19855.101000000002,415,1,1674
45,19913.572,475,-1,1674
46,19965.525999999998,430,1,1674
47,19980.523999999998,445,1,1674
48,19980.71,445,1,1674
49,19990.184,415,-1,1674
50,19998.695,440,1,1674
51,20000.426,435,1,1674
52,20001.519999999997,455,1,1674
53,20002.694000000003,415,1,1674
54,20003.923000000003,455,1,1674
55,20005.266000000003,480,1,1674
56,20008.071000000004,505,-1,1674
57,20009.788999999997,505,-1,1674
58,20011.114999999998,415,-1,1674
59,20045.523999999998,480,1,1674
60,20053.591,420,-1,1674
61,20312.942000000003,455,1,1675
62,20322.623,450,1,1675
63,20352.339,455,1,1675
64,20368.928,425,-1,1675
65,20373.732000000004,420,-1,1675
66,20376.578,420,-1,1675
67,20379.502,420,-1,1675
68,20382.35,420,-1,1675
69,20383.699,420,-1,1675
70,20387.571000000004,420,-1,1675
71,20393.146999999997,420,-1,1675
72,20396.444000000003,405,1,1675
73,20402.124000000003,405,1,1675
74,20406.689,405,1,1675
75,20409.546000000002,405,-1,1675
76,20412.355000000003,405,-1,1675
77,20417.135000000002,405,-1,1675
78,20422.525999999998,405,1,1675
79,20425.328,405,1,1675
80,20434.451999999997,400,-1,1675
81,20447.589999999997,430,1,1675
82,20458.591,445,1,1675
83,20480.131999999998,445,1,1675
84,20669.521,435,1,1676
85,20687.747000000003,430,-1,1676
86,20693.855000000003,445,-1,1676
87,20714.362,450,1,1676
88,20725.665,430,-1,1676
89,20754.190000000002,435,1,1676
90,20768.288,435,1,1676
91,20787.449,420,-1,1676
92,20792.303,420,-1,1676
93,20795.269999999997,425,-1,1676
94,20795.915999999997,415,-1,1676
95,20798.061,415,-1,1676
96,20800.994,405,-1,1676
97,20803.836000000003,405,-1,1676
98,20808.432999999997,405,1,1676
99,20812.207000000002,405,-1,1676
100,20830.828,430,1,1676
101,20840.674,410,-1,1676
102,20843.625,415,-1,1676
103,20844.858999999997,435,1,1676
104,21093.638,435,1,1677
105,21128.167,430,1,1677
106,21158.983999999997,415,-1,1677
107,21164.375,430,1,1677
108,21187.940000000002,415,-1,1677
109,21191.752,420,1,1677
110,21193.299,425,1,1677
111,21194.218999999997,425,1,1677
112,21197.357000000004,425,-1,1677
113,21202.049,425,-1,1677
114,21204.545,430,1,1677
115,21206.243000000002,430,1,1677
116,21222.707000000002,435,1,1677
117,21224.066,435,1,1677
118,21225.053,435,1,1677
119,21230.860999999997,425,1,1677
120,21232.956,440,-1,1677
121,21427.708,455,1,1678
122,21432.5,455,1,1678
123,21437.275999999998,455,1,1678
124,21442.119,455,1,1678
125,21442.883,440,1,1678
126,21443.743000000002,455,1,1678
127,21446.568,440,1,1678
128,21447.703,455,1,1678
129,21451.08,450,1,1678
130,21454.07,440,1,1678
131,21482.533000000003,445,1,1678
132,21517.106,430,1,1678
133,21517.663999999997,445,1,1678
134,21518.377999999997,450,1,1678
135,21519.091,455,1,1678
136,21519.891000000003,455,1,1678
137,21522.942000000003,425,-1,1678
138,21531.839,425,1,1678
139,21532.803,430,1,1678
140,21543.930999999997,430,1,1678
141,21559.178999999996,430,1,1678
142,21567.479,430,1,1678
143,21582.355000000003,435,1,1678
144,21582.36,455,1,1678
145,21582.364,455,1,1678
146,21585.050000000003,480,-1,1678
147,21586.915,480,-1,1678
148,21587.887000000002,480,-1,1678
149,21720.078,445,-1,1679
150,21729.375999999997,445,-1,1679
151,21733.578999999998,445,-1,1679
152,21736.211000000003,445,1,1679
153,21741.835,445,-1,1679
154,21747.915999999997,445,-1,1679
155,21768.89,435,1,1679
156,21780.095999999998,440,1,1679
157,21832.913999999997,435,1,1679
158,21860.17,430,-1,1679
159,22021.362,430,-1,1680
160,22052.839,440,-1,1680
161,22056.606,435,-1,1680
162,22066.097,440,1,1680
163,22073.413999999997,445,1,1680
164,22235.756999999998,425,-1,1681
165,22238.086000000003,435,1,1681
166,22254.264000000003,435,-1,1681
167,22268.788,435,1,1681
168,22269.542999999998,440,1,1681
169,22270.273999999998,440,1,1681
170,22271.071000000004,440,1,1681
171,22271.868000000002,445,1,1681
172,22276.658000000003,440,1,1681
173,22280.512000000002,430,-1,1681
174,22281.314,425,-1,1681
175,22282.072,425,-1,1681
176,22285.826999999997,425,1,1681
177,22287.436999999998,430,-1,1681
178,22296.463000000003,415,1,1681
179,22326.887000000002,435,1,1681
180,22473.417999999998,430,1,1682
181,22484.997000000003,430,1,1682
182,22485.862,435,1,1682
183,22487.286999999997,435,1,1682
184,22498.144999999997,435,1,1682
185,22502.908000000003,440,-1,1682
186,22508.360999999997,440,-1,1682
187,22513.122000000003,440,1,1682
188,22515.059,440,-1,1682
189,22545.08,435,1,1682
190,22553.023999999998,430,1,1682
191,22559.214,430,-1,1682
192,22568.631,435,-1,1682
193,22712.860999999997,435,1,1683
194,22713.528,435,1,1683
195,22713.788,435,1,1683
196,22714.076999999997,440,1,1683
197,22717.161999999997,480,1,1683
198,22727.938000000002,470,1,1683
199,22737.406000000003,430,1,1683
200,22740.021,470,1,1683
201,22741.648999999998,430,1,1683
202,22744.424,430,1,1683
203,22746.875999999997,430,1,1683
204,22749.485,430,1,1683
205,22753.93,430,-1,1683
206,22755.864999999998,465,1,1683
207,22756.669,470,1,1683
208,22758.953,475,-1,1683
209,22761.093999999997,425,1,1683
210,22762.495000000003,475,-1,1683
211,22764.250999999997,430,1,1683
212,22765.375999999997,475,-1,1683
213,22765.805,475,-1,1683
214,22766.426,430,-1,1683
215,22767.292,475,-1,1683
216,22768.012000000002,465,-1,1683
217,22768.307,430,-1,1683
218,22769.165999999997,475,-1,1683
219,22769.985999999997,430,-1,1683
220,22772.0,425,-1,1683
221,22776.169,465,1,1683
222,22780.299,465,1,1683
223,22798.814,465,1,1683
224,22939.963000000003,430,1,1684
225,22944.747000000003,430,1,1684
226,22953.108,430,1,1684
227,22961.432999999997,430,1,1684
228,23004.250999999997,425,1,1684
229,23012.786,430,1,1684
230,23014.349000000002,430,1,1684
231,23015.631,430,1,1684
232,23171.735,350,-1,1685
233,23194.025999999998,420,1,1685
234,23195.462,420,1,1685
235,23196.21,420,1,1685
236,23205.620000000003,425,-1,1685
237,23231.979,425,-1,1685
238,23236.995000000003,425,1,1685
239,23239.297,425,1,1685
240,23245.246,425,-1,1685
241,23249.194000000003,430,1,1685
242,23249.197999999997,430,1,1685
243,23249.201,435,1,1685
244,23250.101000000002,425,1,1685
245,23250.112,440,1,1685
246,23250.125999999997,445,1,1685
247,23251.593999999997,455,1,1685
248,23251.607000000004,480,1,1685
249,23255.084000000003,480,1,1685
250,23256.682999999997,480,-1,1685
251,23256.981,480,-1,1685
252,23279.123,425,-1,1685
253,23280.517999999996,430,1,1685
254,23409.468,410,1,1686
255,23420.025,415,-1,1686
256,23420.737,410,-1,1686
257,23421.637000000002,405,-1,1686
258,23424.284,400,-1,1686
259,23434.425000000003,425,1,1686
260,23438.713000000003,425,-1,1686
261,23441.794,400,1,1686
262,23445.735999999997,425,-1,1686
263,23459.608999999997,425,1,1686
264,23480.53,390,-1,1686
265,23480.689,425,1,1686
266,23481.748,425,-1,1686
267,23482.536,390,-1,1686
268,23483.328999999998,385,-1,1686
269,23484.061999999998,425,1,1686
270,23485.855000000003,425,-1,1686
271,23488.428999999996,420,1,1686
272,23488.747000000003,425,1,1686
273,23493.273999999998,425,1,1686
274,23493.919,425,-1,1686
275,23501.714999999997,425,1,1686
276,23502.008,425,1,1686
277,23505.009,425,-1,1686
278,23508.691,375,1,1686
279,23510.976000000002,425,-1,1686
280,23632.042999999998,200,1,1687
281,23632.311999999998,200,1,1687
282,23634.956,200,1,1687
283,23635.165999999997,200,1,1687
284,23635.911999999997,200,1,1687
285,23636.127,200,1,1687
286,23638.802000000003,200,1,1687
287,23639.169,200,1,1687
288,23641.623,200,1,1687
289,23641.875999999997,200,1,1687
290,23644.955,425,-1,1687
291,23651.482000000004,415,1,1687
292,23652.214,425,1,1687
293,23659.208,390,1,1687
294,23659.978000000003,390,1,1687
295,23661.095,390,1,1687
296,23665.845,410,1,1687
297,23666.601000000002,410,1,1687
298,23667.368000000002,415,1,1687
299,23670.301,405,1,1687
300,23671.061999999998,415,1,1687
301,23672.231,305,1,1687
302,23672.905,305,1,1687
303,23673.884,305,1,1687
304,23674.565000000002,305,1,1687
305,23675.368000000002,305,1,1687
306,23678.154000000002,305,1,1687
307,23680.961000000003,305,1,1687
308,23681.718,305,1,1687
309,23682.517,305,1,1687
310,23683.256,305,1,1687
311,23686.294,305,1,1687
312,23689.108,305,1,1687
313,23691.978000000003,305,1,1687
314,23698.142,305,1,1687
315,23701.237,305,1,1687
316,23701.741,305,1,1687
317,23702.292,305,1,1687
318,23703.572,290,1,1687
319,23704.485999999997,290,1,1687
320,23726.224000000002,180,1,1687
321,23727.009,180,1,1687
322,23727.889000000003,180,1,1687
323,23728.644,200,1,1687
324,23729.432999999997,200,1,1687
325,23732.275,200,1,1687
326,23735.033000000003,200,1,1687
327,23737.811,200,1,1687
328,23740.795,195,1,1687
